Anmeldedatum	JahrAkademisch	Art	Grad	Sprache	Titel	Abstract
19.10.16	2017	intern	Bachelor	DE	Vergleich der Modellierung mit Graphdatenbanken und Ontologien anhand einer Fallstudie	Durch die immer weiter steigende Digitalisierung unserer Welt werden immer mehr Da-ten erfasst und gespeichert. Fast keine Anwendung in der Informatik funktioniert noch ohne eine Datenbank. Vor allem in Suchmaschinen oder sozialen Netzwerken spielen Graphdatenbanken eine große Rolle. Deshalb werden diese in dieser Arbeit genauer erklärt. Das Pendant zu den Graphdatenbanken aus dem Bereich der Wissensrepräsenta-tion bilden die Ontologien. Die intelligente Datenverarbeitung wird in aktuellen Infor-mationssystemen immer wichtiger. Daher bilden Ontologien den zweiten Schwerpunkt dieser Abschlussarbeit. Abschließend werden beide Technologien in einer Fallstudie gegenübergestellt.
20.10.16	2017	intern	Bachelor	DE	Sentiment Analyse von Kundenreviews aus einem sozialen Netzwerk zur Produktverbesserung eines ausgewählten Streaming Dienstes	Das Ziel der vorliegenden Bachelorarbeit ist es, aus Nutzerkommentaren Verbesserungsvorschläge für die Angebote des Streaming Dienstes Netflix zu gewinnen sowie die Erkenntnis über die Zufriedenheit der Kunden über das Angebot. Dies geschieht durch eine Sentiment Analyse, bei der die Bewertungen als erstes in die Kategorien ?positiv?, ?negativ? und ?neutral? aufgeteilt werden. Danach werden Produktverbesserungenvorschläge der Kunden sowie der Beliebtheitsgrad des Produktes herausgefiltert. Dies hat den Zweck herauszufinden, was dem Kunden an dem Produkt mehr zusagen würde und ob dieses Produkt überhaupt genutzt wird. Wenn nicht, kann der Grund dafür durch die Produktverbesserungsvorschläge erschlossen werden und an einer Verbesserung gearbeitet werden. Auch soll die Analyse dabei helfen herauszufinden, wie hoch der Benutzungsgrad in einer bestimmten Zeitspanne war, um Trends ablesen zu können.
20.10.16	2017	extern	Bachelor	DE	Automatisierung des Freigabe- und Buchungsprozesses für Eingangsrechnungen in einem ERP-System	Das Ziel dieser Arbeit ist es, den Prozess der Erfassung bzw. Genehmigung von Eingangsrechnungen im Rahmen des ERP-Systems Microsoft Dynamics NAV zu optimieren. Dabei werden zunächst die bereits vorhandenen Prozesse in Micrcsoft Dynamics NAV unter der Berücksichtigung von Kundenanforderungen untersucht. Da der Genehmigungsprozess zu unflexibel und nicht auf den jeweiligen Kunden zuschneidbar ist, wurden nachfolgend die bereits auf dem Markt vorhandenen Lösungen von anderen Partnern bzgl. ihrer Nutzbarkeit analysiert. Die KUMAVISION AG verfügt derzeit über keine eigene Lösung in diesem Bereich, deshalb soll das Potential einer neu entwickelten Lösung in Betracht gezogen werden. Nach einer näheren Analyse der Eignung einer solchen Eigenentwicklung und der bereits vorhandenen Module, wird im Rahmen einer Evaluierung der direkte Vergleich gezogen und als Resultat eine Einsatzempfehlung gegeben. Da in vielen Fällen eine Eigenentwicklung sinnvoll erscheint, wird für diese abschließend eine fachliche Spezifikation ausgearbeitet.
21.10.16	2017	extern	Master	DE	Konzeption und Entwicklung eines REST-basierten Microservices zur Behandlung von Autorisierungs- und Authentifizierungsanfragen im Rahmen der Rechenzentrumskommunikation der DATEV eG	Das Ziel der vorliegenden Masterarbeit ist die Konzeption und Entwicklung eines REST-basierten Microservice, der als Ansprechpartner für Nutzungs- und Zugangskontrollfragen bisheriger verteilter Berechtigungskonzepte des DATEV Anwendungsumfeldes zusammenführt und innerhalb eines zentralen Rechteservice bereitstellt. Hierfür wird nach Klärung grundlegender Begrifflichkeiten und Durchführung einer Anforderungsanalyse die Fragestellung erörtert, wie die Softwarearchitektur des Microservice aufgebaut sein kann, die eine möglichst lose Anbindung an diese in existierenden Fremdsystemen abgebildeten Berechtigungskonzepte ermöglicht. Zu diesem Zweck werden nach Erörterung etablierter Entwurfsprinzipien im Rahmen einer szenariobasierten Architekturbewertung unter Berücksichtigung innerhalb der Anforderungsanalyse definierten Qualitätsszenarien hierarchische Architekturmuster auf ihre Tauglichkeit zur zielführenden Umsetzung bewertet. Basierend aus hieraus gewonnen Erkenntnissen wird der Architekturentwurf in Anlehnung an einen schalenorientierten Architekturansatz konzipiert. Unter Berücksichtigung technologischer Rahmenbedingungen wird eine Technologieanalyse durchgeführt, in welcher Technologiekomponenten erörtert und evaluiert werden, mit welchen der konzipierte Architekturentwurf umsetzbar ist. Abschließend wird der Microservice unter Anwendung des konzipierten Architekturentwurfes sowie den evaluierten Technologiekomponenten in der Form eines Machbarkeitsnachweises umgesetzt.
27.10.16	2017	extern	Bachelor	DE	Entwicklung eines Echtzeitdownloads zur Erweiterung laufender Anlagen	Mit dem Prozessleitsystem von ProLeiT ist es zu jedem Zeitpunkt möglich eine Anlage zu erweitern. Diese Eigenschaft zieht sich durch nahezu alle Produkte des Prozessleitsystems. Einzige Ausnahme bildet das Produkt Plant Batch iT. Hier werden spezielle Batch iT Objekte und Anlagenparameter benötigt und mit einem separaten Download in die Steuerung übertragen. Dieser Download kann nicht durchgeführt werden, während eine Charge in der Steuerung bearbeitet wird. Mit der vorliegenden Bachelorarbeit wird dieser Download untersucht, um herauszufinden, warum er nicht durchgeführt werden kann, wenn eine Charge in der Steuerung bearbeitet wird. Außerdem wird untersucht, warum die Steuerung gestoppt und neu gestartet werden muss, wenn sich Datenbausteine der Anlage geändert haben. Hierbei werden der Code des PCs und der Code der Steuerung analysiert. Das Prozessleitsystem wird analysiert, um herauszufinden, wann es erlaubt ist, Batch iT Objekte zu aktualisieren und wann eine Änderung zu einem Fehler in der Anlage führen würde. Mit den gesammelten Informationen werden zwei neue Downloads konzeptioniert, um Änderungen während der Produktion zu ermöglichen. Bei der Konzeption wird speziell darauf eingegangen, worauf im Umgang mit Echtzeitsystemen zu achten ist. Anschließend werden die beiden Downloads sowohl für den PC als auch für die Steuerung umgesetzt. Hierbei kommen die Sprachen C#, C++ und Anweisungsliste zum Einsatz.
31.10.16	2017	extern	Bachelor	DE	Sichere Datenübertragung von externen Datenträgern in Firmen-Netzwerke	Mitarbeiter von Firmen bekommen des Öfteren externe Datenträger, sei es von Kunden oder Werbegeschenke auf Messen. Auf diesen kann sich leicht Schadsoftware befinden und so bei Benutzung an Firmenrechner großen Schaden anrichten. Deswegen müssen externe Datenträger vor der Benutzung von einer zentralen Stelle geprüft und freigegeben werden. Dieser Prozess kann in der DATEV bis zu drei Tagen dauern. Der Prozess soll nun durch ein System beschleunigt und verbessert werden. Ziel der Bachelorarbeit ist es, ein System zu entwickeln, welches Daten von externen Datenträger sicher (unter dem Aspekt Security) und schnell in ein Firmennetzwerk transportieren kann.
31.10.16	2017	intern	Bachelor	DE	Implementierung einer Überführung eines multi-kriteriellen (nicht-)linearen ganzzahligen Programms in Standard-Eingabeformate für Optimierungssolver	Diese Arbeit ist Teil eines Lösungsansatzes zur system-basierten Optimierung von Software-Architekturen. Um aus einer solchen Software-Architektur optimierungs-relevante Elemente zu erhalten, bedarf es einer standardisierten Architekturbeschreibungssprache. Hierzu bietet sich die EAST-ADL an, eine Architekturbeschreibungssprache, die vorwiegend in der Automobilbranche Anwendung findet. Mithilfe der EAST-ADL können ganze System-Produktlinien, in Form von hierarchisch, strukturierten Features-Modellen, abgebildet werden. Durch Modellierung von Features und den zugehörigen Eigenschaften entsteht ein multikriterielles, lineares oder nichtlineares Programm. Dieses Programm kann in der vorliegenden Form von Optimierungswerkzeugen nicht aufgelöst werden. Moderne Optimierungswerkzeuge lesen und verarbeiten lediglich Standardeingabeformate von algebraischen Modellierungssprachen, die der mathematischen Notation nahe kommen. Aus diesem Grund wird ein Überführungsmechanismus benötigt, welcher diese Umformung durchführt. Auf Basis einer variantenreichen EAST-ADL Beispiel-Architektur werden die optimierungs-relevanten Elemente erzeugt und veranschaulicht. Alle möglichen Ausprägungen dieser Elemente bilden die Argumentationsgrundlage zur Evaluierung der Standardeingabeformate. Das Ergebnis der Evaluierung wird anschließend als Modellgenerator, zur Überführung der optimierungs-relevanten Elemente, in Form einer Software implementiert.
02.11.16	2017	intern	Master	DE	Entwicklung und prototypische Realisierung einer Microservice-Referenzarchitektur zur Einbettung von Spielelementen in Webseiten	Im Rahmen dieser Masterarbeit wird ein Konzept entwickelt, welches die Gamification von Webseiten ermöglicht. Für die Integration, einer auf dem Konzept basierenden Implementierung in die Webseite, sind kaum Änderungen an dieser nötig. Das Hinzufügen und Entfernen von Mustern ist mit wenigen Schritten möglich. Ein einmal hinzugefügtes Muster kann zudem mit einem Klick ein- oder ausgeschaltet werden. Die Muster werden hierfür als eigenständige Microservices implementiert. Für die Webseite bieten sie eine REST-Schnittstelle an. REST ist eine engere Definition von HTTP, welches das Hauptkommunikationsprotokoll des Internets ist. Die Kommunikation mit anderen Microservices erfolgt über einen Messaging-Server. Für die Übersetzung der Nutzerdaten der Webseite und die Gewährleistung der Sicherheit im Gamification-System wird ein zentraler Microservice genutzt. Dieser implementiert kein Muster, sondern dient zum einen als Anticorruption Layer und kümmert sich zum anderen um die Autorisierung und Authentifizierung der Nutzer. Des Weiteren dient er als zentraler Eintrittspunkt in das Gamification-System. Über ihn werden die Muster-Microservices in die Webseite eingebunden. Durch die Realisierung eines Prototyps wird die Architektur praktisch umgesetzt.
02.11.16	2017	extern	Bachelor	DE	Übermittlung von schützenswerten Dokumenten in einem mittelständischen Produktionsbetrieb am Beispiel der Firma Rhodius	Die Arbeit befasst sich mit dem Austausch von schützenswerten Dokumenten in einem mittelständischen Produktionsbetrieb. Einleitend werden für die Thematik relevante Grundlagen des Datenschutzes sowie zur Geheimhaltung von Betriebs- und Geschäftsgeheimnissen behandelt. Weiter werden Anforderungen allgemein, als auch an konkerten Übermittlungsverfahren diskutiert. Im Zweiten Teil wird eine Fallstudie bei der Firma RHODIUS durchgeführt. Hierzu werden zuerst alle relevanten Informationen zu Dokumenten und Übermittlungsverfahren zusammengetragen und anschließend mit Hilfe vorheriger Grundlagen analysiert und bewertet. Abschließend wird aufgezeigt, wie andere Unternehmen Defizite bei der Übermittlung von schützenswerten Dokumenten festestellen und bewerten können.
03.11.16	2017	extern	Bachelor	DE	Entwicklung intuitiver Interaktionsmöglichkeiten für die graphischen Auswertungen in der Software IngSoft InterWatt	?Intuitive Interaktion? gewinnt in den letzten Jahren als Qualitätsmerkmal von Soft-ware immer mehr an Bedeutung, dies gilt auch für die Energiemanagementsoftware IngSoft InterWatt. In der vorliegenden Bachelorarbeit wird zunächst auf die Bedeu-tung von intuitiver Interaktion und deren Merkmale eingegangen. Anschließend werden Vorgehensmodelle vorgestellt, die die Entwicklung von intuitiv bedienbarer Software sicherstellen sollen. Basierend auf diesen Erkenntnissen werden die beste-henden Interaktionsformen in den graphischen Auswertungen von IngSoft InterWatt optimiert und weitere Interaktionsmöglichkeiten umgesetzt. Abschließend werden Testverfahren aufgezeigt, die Probleme bei der Bedienung der Software im laufen-den Entwicklungsprozess aufzeigen und somit die Möglichkeit bieten, diese frühzei-tig zu beheben.
08.11.16	2017	intern	Master	DE	Prototypische Entwicklung einer Android App für ortsbasierte Dienste für mobiles Bezahlen in Stadien	Die Masterthesis bearbeitet die Thematik des mobilen Bezahlens in Stadien mit Mehrwertdiensten unter Android. Sie besteht im Wesentlichen aus zwei Teilen. Zunächst soll der Markt in Deutschland hinsichtlich anderer Applikationen, die das mobile Bezahlen ermöglichen, untersucht und die generelle Verbreitung dieser Bezahlmethode beleuchtet werden. Anschließend wird der Fokus auf das Stadion und dessen Stakeholder gesetzt. Eine Analyse wird Aufschluss darüber geben, inwiefern im Umfeld des Stadions die Bereitschaft bzw. die Infrastruktur gegeben ist, um ein derartiges System einführen zu können. Im zweiten Teil der Masterthesis wird auf Basis der Ergebnisse des ersten Teils ein Konzept erstellt. In diesem werden u. a. Anforderungen definiert, anhand derer die entsprechenden Technologien bewertet werden, um diese umsetzen zu können. Abschließend wird eine Applikation entwickelt, in der die Anforderungen mit Hilfe der evaluierten Technologien realisiert werden. Diese wird im Stadionumfeld das mobile Bezahlen ermöglichen und Mehrwertdienste bereitstellen
09.11.16	2017	extern	Master	DE	Die Konzeption und Validierung eines Entscheidungsmodells zur bedarfsorientierten Auswahl eines Datenbanksystems anhand einer prototypischen Implementierung einer Datenhaltungsschicht für ein Massendatenübermittlungssystem.	Die "Datenübermittlung" der DATEV eG sendet elektronische Meldungen an externe Kommunikationspartner (Banken, Finanzverwaltung, etc.) und holt Rückmeldungen für Steuerberater und Mandanten ab. Die Datenbestände liegen dabei aktuell im DATEV-Rechenzentrum auf einer VSAM-Datensammlung. Das Team möchte auf moderne Datenbanksysteme wechseln. Dabei stellt sich die Frage anhand welcher Entscheidungskriterien soll das bestmögliche Datenbanksystem ausgewählt werden. Die Masterarbeit umfasst die Konzeption und Validierung eines universell einsetzbaren Entscheidungsmodelles zur Auswahl geeigneter Datenbanksysteme. Mithilfe einer prototypischen Implementierung einer Datenhaltungsschicht für ein Massendatenübermittlungssystem soll das Entscheidungsmodell validiert werden. Die Validierung dessen stellt dabei keine allgemeingültige Aussage über das Entscheidungsmodell auf. Vielmehr dient die Validierung als Indikation, dass Anhand dieses Modells eine Entscheidung getroffen werden kann.
10.11.16	2017	extern	Bachelor	DE	Konzeption eines Proof of Concept-Modells für einen internationalen Softwarehersteller von In-Memory-Datenbanken.	Ein Proof of Concept ist für viele Unternehmen der erste Schritt, wenn es um die Evaluierung passender Software geht. Dabei ist es vor allem wichtig, dass die geprüfte Lösung richtig eingesetzt und integriert wird. Im Zuge der Bachelorarbeit wird deshalb für einen Softwarehersteller einer In-Memory-Datenbank ein Modell für einen durchgeführten Proof of Concept erarbeitet. Im Vordergrund steht dabei die Analyse der einzelnen Elemente eines Proof of Concept, sowie die Gestaltung möglicher Anwendungsfälle. Zu den betrachteten Bestandteilen gehört beispielsweise die Auswahl eines passenden Datenbankschemas oder das Erstellen von Methoden zur Performancemessung. Das Muster soll als Grundlage für Vertriebspartner sowie Mitarbeiter verwendet werden und über das User-Portal zur Verfügung gestellt werden.
11.11.16	2017	extern	Bachelor	DE	Beurteilung des Betriebsprüfungsrisikos anhand einer E-Bilanz: Konzeption und prototypische Realisierung eines Prüf- und Hinweissystems bei der DATEV eG	Seit spätestens 2013 sind bilanzierende Unternehmen verpflichtet ihre Jahresabschlussdaten elektronisch an das Finanzamt zu übermitteln. Durch eine automatisierte Analyse der gewonnenen Daten soll auch die Auswahl der Unternehmen für eine Betriebsprüfung seitens der Finanzverwaltung erheblich vereinfacht werden. Das Ziel der Bachelorarbeit ist die prototypische Realisierung eines Prüf- und Hinweissystems. Das System soll dem Anwender auf Basis einer E-Bilanz Hinweise geben, ob infolge bestimmter Konstellationen ein erhöhtes Betriebsprüfungsrisiko bei einem Unternehmen vorliegt. Dazu nimmt der Prototyp eine E-Bilanz entgegen und führt darauf Analysen auf Basis von Experten entwickelten Risikofaktoren durch. Durch die Ausgabe der Prüfungsergebnisse wird der Anwender über die potenziellen Risikofaktoren informiert. Der Prototyp dient als Vorstudie für eine spätere Implementierung.
11.11.16	2017	extern	Bachelor	DE	Arbeitsplatz 4.0 und digitales Arbeiten: Anforderungen an die IT-Landschaft einer Direktbank beim Transformationsprozess zum Digital Workspace	Im Rahmen der Digitalisierung der Arbeitswelt soll bei einer Direktbank die Flexibilisierung von Arbeitsorten, Arbeitsmitteln sowie Arbeitszeiten erfolgen. Das Ziel der Bachelorarbeit ist es, die Anforderungen an digitales Arbeiten und die dafür erforderliche technische und organisatorische Infrastruktur darzustellen. Hierfür sollen einzelne IT-Lösungen evaluiert und am Ende im Rahmen einer ganzheitlichen Systemlandschaft vorgestellt werden. Im Fokus stehen vor allem die Strategie einer individuellen und adäquaten Mitarbeiter-Cloud, die Sicherstellung von reibungslosen und ortsunabhängigen Zusammenarbeitsmöglichkeiten und die Einführung von Unified-Communications-Lösungen. Des Weiteren sollen zur Ergänzung der Thematik Umsetzungen des Digital Workspace am Beispiel ausgewählter Unternehmen vorgestellt sowie die psychologischen Anforderungen, Chancen und Risiken durch digitales Arbeiten betrachtet werden.
